"filename", "language", "XML", "C#", "JSON", "Properties", "comment", "blank", "total"
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\Views\Statistics\bgl\BglEntriesPage.xaml", "XML", 63, 0, 0, 0, 8, 6, 77
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\Views\Statistics\bgl\BglEntriesPage.xaml.cs", "C#", 0, 15, 0, 0, 0, 1, 16
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\Views\Statistics\bgl\BglEntryPage.xaml", "XML", 29, 0, 0, 0, 0, 3, 32
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\Views\Statistics\bgl\BglEntryPage.xaml.cs", "C#", 0, 50, 0, 0, 1, 7, 58
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\Views\Statistics\bgl\BglStatisticsPage.xaml", "XML", 61, 0, 0, 0, 3, 11, 75
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\Views\Statistics\bgl\BglStatisticsPage.xaml.cs", "C#", 0, 108, 0, 0, 26, 29, 163
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\Views\Statistics\bgl\EditBglPage.xaml", "XML", 74, 0, 0, 0, 9, 5, 88
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\Views\Statistics\bgl\EditBglPage.xaml.cs", "C#", 0, 15, 0, 0, 0, 1, 16
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\Views\Statistics\sleep\AddSlpDataPage.xaml", "XML", 47, 0, 0, 0, 0, 7, 54
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\Views\Statistics\sleep\AddSlpDataPage.xaml.cs", "C#", 0, 15, 0, 0, 0, 1, 16
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\Views\Statistics\sleep\EditSlpPage.xaml", "XML", 71, 0, 0, 0, 9, 6, 86
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\Views\Statistics\sleep\EditSlpPage.xaml.cs", "C#", 0, 15, 0, 0, 0, 1, 16
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\Views\Statistics\sleep\SlpEntriesPage.xaml", "XML", 64, 0, 0, 0, 8, 6, 78
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\Views\Statistics\sleep\SlpEntriesPage.xaml.cs", "C#", 0, 15, 0, 0, 0, 1, 16
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\Views\Statistics\sleep\SlpEntryPage.xaml", "XML", 39, 0, 0, 0, 0, 4, 43
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\Views\Statistics\sleep\SlpEntryPage.xaml.cs", "C#", 0, 51, 0, 0, 1, 7, 59
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\Views\Statistics\sleep\SlpStatisticsPage.xaml", "XML", 59, 0, 0, 0, 3, 12, 74
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\Views\Statistics\sleep\SlpStatisticsPage.xaml.cs", "C#", 0, 149, 0, 0, 28, 27, 204
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\Views\User\LoginPage.xaml", "XML", 80, 0, 0, 0, 8, 11, 99
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\Views\User\LoginPage.xaml.cs", "C#", 0, 13, 0, 0, 0, 1, 14
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\Views\User\RegisterPage.xaml", "XML", 28, 0, 0, 0, 0, 3, 31
